[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 3.lcd
Output Date	26/02/2025
Output Time	22:51:33

[File Information]
Type	Data File
Generated	26/02/2025 22:01:05
Generated by	System Administrator
Modified	26/02/2025 22:51:33
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:01:29
Sample Type	0:Unknown
Level	0
Sample Name	CHA VERDE 3
Sample ID	CHA VERDE 3
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	17
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA VERDE 3.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	86
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
48	21,627	21,451	21,941	2917232	245749	11,871	0,000	 V 			13,011	72426	2,071	0,000	0,582	1,012	0	0	0,000	0,000
49	22,141	21,941	22,304	251009	17894	14,028	0,000	 V 			13,344	45517	3,296	0,000	1,395	1,026	0	0	0,000	0,000
50	22,387	22,304	22,560	118245	8998	13,141	0,000	 V 			13,504	5779	25,955	0,000	0,309	1,012	0	0	0,000	0,000
51	22,727	22,560	22,955	174020	10492	16,586	0,000	 V 			13,724	29388	5,104	0,000	0,398	1,016	0	0	0,000	0,000
52	23,141	22,955	23,221	130992	10897	12,021	0,000	 V 			13,992	11047	13,578	0,000	0,586	1,020	0	0	0,000	0,000
53	23,416	23,221	23,520	302605	21782	13,892	0,000	 V 			14,170	21320	7,036	0,000	0,361	1,013	0	0	0,000	0,000
54	23,610	23,520	23,872	258792	19434	13,316	0,000	 V 			14,296	15596	9,618	0,000	0,277	1,009	0	0	0,000	0,000
55	24,125	23,872	24,587	1407622	102814	13,691	0,000	 V 			14,630	72573	2,067	1,074	0,926	1,023	0	0	0,000	0,000
56	24,721	24,587	24,832	39446	2927	13,474	0,000	 V 			15,016	8043	18,650	0,000	0,816	1,026	0	0	0,000	0,000
57	24,931	24,832	25,024	29468	2729	10,797	0,000	 V 			15,152	5726	26,198	0,000	0,174	1,009	0	0	0,000	0,000
58	25,199	25,024	25,408	78310	5084	15,404	0,000	 V 			15,325	48138	3,116	0,000	0,301	1,011	0	0	0,000	0,000
59	25,547	25,408	25,653	36288	2884	12,581	0,000	 V 			15,551	20663	7,259	0,000	0,596	1,015	0	0	0,000	0,000
60	25,786	25,653	25,952	39291	2420	16,233	0,000	 V 			15,706	3602	41,642	0,000	0,197	1,010	0	0	0,000	0,000
61	26,159	25,952	26,432	54397	2492	21,829	0,000	 V 			15,947	14020	10,699	0,000	0,287	1,015	0	0	0,000	0,000
62	26,714	26,432	26,837	43177	2264	19,075	0,000	 V 			16,307	13633	11,003	0,000	0,617	1,023	0	0	0,000	0,000
63	26,931	26,837	27,083	25846	2149	12,026	0,000	 V 			16,448	16754	8,953	0,000	0,248	1,009	0	0	0,000	0,000
64	27,313	27,083	27,467	23875	1301	18,358	0,000	 V 			16,695	1903	78,834	0,000	0,229	1,015	0	0	0,000	0,000
65	27,640	27,467	27,808	47769	4397	10,865	0,000	 V 			16,907	134770	1,113	0,000	0,233	1,013	0	0	0,000	0,000
66	27,887	27,808	28,053	11801	1124	10,502	0,000	 V 			17,067	18134	8,272	0,000	0,437	1,009	0	0	0,000	0,000
67	28,181	28,053	28,277	5504	461	11,943	0,000	 V 			17,258	14247	10,528	0,000	0,332	1,011	0	0	0,000	0,000
68	28,966	28,277	29,077	91935	3339	27,536	0,000	 V 			17,766	4479	33,491	0,000	0,587	1,029	0	0	0,000	0,000
69	29,333	29,077	29,717	404746	28452	14,226	0,000	 V 			18,004	100788	1,488	0,000	0,349	1,013	0	0	0,000	0,000
70	30,643	29,717	30,955	327058	13845	23,624	0,000	 V 			18,852	45843	3,272	0,000	2,781	1,047	0	0	0,000	0,000
71	31,100	30,955	31,285	26350	1737	15,170	0,000	 V 			19,149	53042	2,828	0,000	0,822	1,016	0	0	0,000	0,000
72	31,468	31,285	31,669	24569	1628	15,088	0,000	 V 			19,387	64915	2,311	0,000	0,711	1,012	0	0	0,000	0,000
73	31,855	31,669	32,149	27874	2393	11,646	0,000	 V 			19,638	158754	0,945	0,000	0,952	1,013	0	0	0,000	0,000
74	32,480	32,320	32,555	1824	201	9,067	0,000	   			20,042	395505	0,379	0,761	2,372	1,021	0	0	0,000	0,000
75	33,969	32,832	34,048	150621	7244	20,792	0,000	   			21,007	257496	0,583	0,000	6,279	1,048	0	0	0,000	0,000
76	34,485	34,048	34,539	153984	6743	22,837	0,000	 V 			21,342	7719	19,432	0,000	0,562	1,016	0	0	0,000	0,000
