[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Output Date	26/02/2025
Output Time	23:42:03

[File Information]
Type	Data File
Generated	26/02/2025 22:51:34
Generated by	System Administrator
Modified	26/02/2025 23:42:03
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	26/02/2025 22:52:00
Sample Type	0:Unknown
Level	0
Sample Name	CHA REAL
Sample ID	CHA REAL
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHA REAL.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
58	27,433	27,307	27,531	124553	9656	12,899	0,000	 V 			15,406	2328	64,432	0,000	0,309	1,018	0	0	0,000	0,000
59	27,637	27,531	27,819	152147	9617	15,821	0,000	 V 			15,528	3839	39,076	0,000	0,100	1,008	0	0	0,000	0,000
60	27,900	27,819	28,064	108187	7709	14,034	0,000	 V 			15,685	329	455,401	0,000	0,066	1,010	0	0	0,000	0,000
61	28,149	28,064	28,213	60693	6790	8,938	0,000	 V 			15,834	129	1164,056	0,000	0,031	1,010	0	0	0,000	0,000
62	28,348	28,213	28,533	128666	6865	18,743	0,000	 V 			15,953	374	401,015	0,000	0,025	1,008	0	0	0,000	0,000
63	28,664	28,533	29,120	215377	6777	31,780	0,000	 V 			16,142	1601	93,704	0,000	0,072	1,012	0	0	0,000	0,000
64	29,337	29,120	29,771	256807	10981	23,387	0,000	 V 			16,544	42415	3,537	0,000	0,391	1,025	0	0	0,000	0,000
65	30,142	29,771	30,315	138765	4926	28,170	0,000	 V 			17,026	6461	23,215	0,000	0,778	1,029	0	0	0,000	0,000
66	30,656	30,315	30,901	145317	5789	25,103	0,000	 V 			17,333	16724	8,969	0,000	0,420	1,018	0	0	0,000	0,000
67	31,073	30,901	31,360	63028	3063	20,576	0,000	 V 			17,583	21560	6,957	0,000	0,465	1,014	0	0	0,000	0,000
68	31,456	31,360	31,669	21634	1404	15,412	0,000	 V 			17,812	0	0,000	0,000	0,000	1,013	0	0	0,000	0,000
69	31,841	31,669	32,245	17712	1048	16,898	0,000	 V 			18,042	49172	3,051	0,000	0,000	1,013	0	0	0,000	0,000
70	32,667	32,501	32,747	4762	533	8,937	0,000	   			18,536	376629	0,398	0,767	2,098	1,027	0	0	0,000	0,000
71	33,824	32,789	33,867	388707	9854	39,446	0,000	   			19,228	3348	44,806	0,000	0,907	1,037	0	0	0,000	0,000
72	33,975	33,867	34,133	157983	11550	13,678	0,000	 V 			19,319	27146	5,526	0,000	0,096	1,005	0	0	0,000	0,000
73	34,233	34,133	34,293	80961	9024	8,972	0,000	 V 			19,472	17522	8,560	0,000	0,277	1,008	0	0	0,000	0,000
74	34,340	34,293	34,389	47678	8554	5,574	0,000	 V 			19,536	11543	12,995	0,000	0,093	1,003	0	0	0,000	0,000
75	34,509	34,389	34,645	125935	10195	12,353	0,000	 V 			19,638	55125	2,721	0,000	0,181	1,005	0	0	0,000	0,000
76	34,814	34,645	34,912	101598	6869	14,790	0,000	 V 			19,820	10147	14,783	0,000	0,309	1,009	0	0	0,000	0,000
77	35,069	34,912	35,413	958900	120722	7,943	0,000	 V 			19,973	701347	0,214	0,000	0,329	1,008	0	0	0,000	0,000
78	35,487	35,413	35,563	145332	20630	7,045	0,000	 V 			20,223	201636	0,744	0,000	1,730	1,013	0	0	0,000	0,000
79	35,593	35,563	35,733	112175	14723	7,619	0,000	 V 			20,286	85859	1,747	0,000	0,264	1,003	0	0	0,000	0,000
80	35,849	35,733	35,979	128657	10393	12,379	0,000	 V 			20,439	51500	2,913	0,000	0,459	1,008	0	0	0,000	0,000
81	36,035	35,979	36,096	47337	6923	6,837	0,000	 V 			20,551	3074	48,800	0,000	0,115	1,005	0	0	0,000	0,000
82	36,334	36,096	36,491	152199	7853	19,381	0,000	 V 			20,729	15971	9,392	0,000	0,159	1,009	0	0	0,000	0,000
83	36,784	36,491	36,939	102471	4081	25,108	0,000	 V 			20,999	1156	129,770	0,000	0,164	1,013	0	0	0,000	0,000
84	37,043	36,939	37,152	31244	3294	9,486	0,000	 V 			21,153	132292	1,134	0,000	0,109	1,007	0	0	0,000	0,000
85	37,231	37,152	37,376	10745	1292	8,318	0,000	 V 			21,266	41296	3,632	0,000	0,330	1,005	0	0	0,000	0,000
86	37,696	37,579	37,792	2807	362	7,754	0,000	   			21,544	283715	0,529	0,000	0,915	1,013	0	0	0,000	0,000
87	37,926	37,792	38,080	9554	1254	7,619	0,000	 V 			21,681	491295	0,305	0,000	0,920	1,006	0	0	0,000	0,000
88	38,917	38,667	39,979	1049694	37267	28,167	0,000	   			22,274	351353	0,427	3,014	4,136	1,027	0	0	0,000	0,000

