[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 1.lcd
Output Date	27/02/2025
Output Time	06:25:54

[File Information]
Type	Data File
Generated	27/02/2025 05:35:25
Generated by	System Administrator
Modified	27/02/2025 06:25:53
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 05:35:51
Sample Type	0:Unknown
Level	0
Sample Name	SCIFFEE 1
Sample ID	SCIFFEE 1
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	26
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\SCIFFEE 1.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	88
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
48	21,599	21,227	22,005	1644619	102295	16,077	0,000	 V 			11,978	59282	2,530	0,000	0,557	1,027	0	0	0,000	0,000
49	22,092	22,005	22,240	163061	11873	13,733	0,000	 V 			12,274	66	2257,135	0,000	0,088	1,025	0	0	0,000	0,000
50	22,467	22,240	22,581	237766	12355	19,245	0,000	 V 			12,500	1982	75,674	0,000	0,058	1,018	0	0	0,000	0,000
51	22,775	22,581	23,232	675135	35948	18,781	0,000	 V 			12,685	56064	2,675	0,000	0,256	1,015	0	0	0,000	0,000
52	23,416	23,232	23,627	253403	11814	21,449	0,000	 V 			13,070	2934	51,124	0,000	0,606	1,030	0	0	0,000	0,000
53	23,763	23,627	23,915	170525	10830	15,746	0,000	 V 			13,279	5720	26,224	0,000	0,233	1,016	0	0	0,000	0,000
54	24,133	23,915	24,288	278658	15509	17,967	0,000	 V 			13,501	17397	8,622	0,000	0,372	1,017	0	0	0,000	0,000
55	24,363	24,288	24,544	154002	11293	13,638	0,000	 V 			13,639	2103	71,329	0,000	0,161	1,010	0	0	0,000	0,000
56	24,658	24,544	24,843	147785	9029	16,368	0,000	 V 			13,816	3777	39,713	0,000	0,158	1,013	0	0	0,000	0,000
57	24,912	24,843	25,045	86828	7313	11,873	0,000	 V 			13,969	241	621,738	0,000	0,063	1,011	0	0	0,000	0,000
58	25,205	25,045	25,323	117638	7252	16,222	0,000	 V 			14,145	660	227,321	0,000	0,057	1,013	0	0	0,000	0,000
59	25,524	25,323	25,621	154440	9951	15,520	0,000	 V 			14,337	8014	18,716	0,000	0,126	1,014	0	0	0,000	0,000
60	25,909	25,621	26,240	439312	19639	22,369	0,000	 V 			14,568	19424	7,722	0,000	0,409	1,016	0	0	0,000	0,000
61	26,376	26,240	26,539	119983	7288	16,463	0,000	 V 			14,849	4990	30,058	0,000	0,417	1,019	0	0	0,000	0,000
62	26,689	26,539	26,784	93620	6609	14,165	0,000	 V 			15,037	1632	91,911	0,000	0,151	1,013	0	0	0,000	0,000
63	26,928	26,784	27,061	110500	7062	15,647	0,000	 V 			15,180	3875	38,705	0,000	0,109	1,010	0	0	0,000	0,000
64	27,189	27,061	27,595	174155	6368	27,347	0,000	 V 			15,337	305	492,088	0,000	0,066	1,010	0	0	0,000	0,000
65	27,680	27,595	27,819	56908	4351	13,079	0,000	 V 			15,632	26	5667,053	0,000	0,035	1,019	0	0	0,000	0,000
66	28,216	27,819	28,491	161047	4348	37,038	0,000	 V 			15,954	15	9849,363	0,000	0,021	1,021	0	0	0,000	0,000
67	28,630	28,491	29,077	105193	3657	28,765	0,000	 V 			16,203	1998	75,062	0,000	0,026	1,016	0	0	0,000	0,000
68	29,335	29,077	29,536	66342	2875	23,078	0,000	 V 			16,627	11789	12,724	0,000	0,387	1,026	0	0	0,000	0,000
69	29,701	29,536	29,792	29932	2070	14,459	0,000	 V 			16,847	5394	27,808	0,000	0,271	1,013	0	0	0,000	0,000
70	29,872	29,792	30,069	27346	1867	14,644	0,000	 V 			16,949	349	429,443	0,000	0,043	1,006	0	0	0,000	0,000
71	30,162	30,069	30,400	22586	1294	17,448	0,000	 V 			17,124	401	373,632	0,000	0,047	1,010	0	0	0,000	0,000
72	30,687	30,400	30,859	34730	1730	20,074	0,000	 V 			17,439	36566	4,102	0,000	0,158	1,018	0	0	0,000	0,000
73	31,049	30,859	31,435	41009	2565	15,990	0,000	 V 			17,656	101783	1,474	0,000	0,701	1,012	0	0	0,000	0,000
74	31,445	31,435	31,691	2668	356	7,499	0,000	 V 			17,895	0	0,000	0,000	0,000	1,013	0	0	0,000	0,000
75	34,051	32,715	34,101	357994	7310	48,975	0,000	   			19,460	8248	18,187	0,000	0,000	1,088	0	0	0,000	0,000
76	34,227	34,101	34,293	87476	10453	8,368	0,000	 V 			19,566	222921	0,673	0,000	0,196	1,005	0	0	0,000	0,000
77	34,335	34,293	34,400	48224	9479	5,087	0,000	 V 			19,631	266321	0,563	0,000	0,391	1,003	0	0	0,000	0,000
78	34,528	34,400	34,571	59128	5824	10,152	0,000	 V 			19,747	11382	13,178	0,000	0,247	1,006	0	0	0,000	0,000
79	35,068	34,571	35,413	1047123	120600	8,683	0,000	 V 			20,071	741637	0,202	0,000	0,741	1,016	0	0	0,000	0,000
80	35,488	35,413	35,563	144900	21045	6,885	0,000	 V 			20,324	232516	0,645	0,000	1,836	1,013	0	0	0,000	0,000
81	35,594	35,563	35,733	112659	14878	7,572	0,000	 V 			20,387	104365	1,437	0,000	0,289	1,003	0	0	0,000	0,000
82	35,849	35,733	35,989	134009	10505	12,757	0,000	 V 			20,541	52011	2,884	0,000	0,477	1,008	0	0	0,000	0,000
83	36,037	35,989	36,096	43233	6955	6,216	0,000	 V 			20,654	3210	46,736	0,000	0,118	1,005	0	0	0,000	0,000
84	36,335	36,096	36,469	146090	7862	18,581	0,000	 V 			20,833	17028	8,809	0,000	0,163	1,009	0	0	0,000	0,000
85	36,784	36,469	36,885	98570	3869	25,476	0,000	 V 			21,102	3621	41,426	0,000	0,252	1,013	0	0	0,000	0,000
86	37,049	36,885	37,152	38910	3117	12,485	0,000	 V 			21,262	112221	1,337	0,000	0,184	1,008	0	0	0,000	0,000
87	37,232	37,152	37,376	10933	1288	8,489	0,000	 V 			21,372	5318	28,206	0,000	0,148	1,005	0	0	0,000	0,000
88	38,921	38,656	39,989	1048926	36946	28,390	0,000	   			22,386	340408	0,441	2,864	1,462	1,047	0	0	0,000	0,000

[Compound Results(PDA)]
# of IDs	0

[PDA Multi Chromatogram(Ch1)]
# of Points	      4689
Interval(msec)	640
Start Time(min)	0
End Time(min)	50,0053
Intensity Units	mAU
Intensity Multiplier	1
Type	MultiChrom
Wavelength(nm)	254
Bandwidth(nm)	4
R.Time (min)	Intensity
0,00000	0
0,01067	0
0,02133	0
0,03200	0
0,04267	0
0,05333	0
0,06400	0
0,07467	0
0,08533	0
0,09600	0
0,10667	-1
0,11733	2
0,12800	-6
0,13867	-9
0,14933	-9
0,16000	-9
0,17067	-11
0,18133	-12
0,19200	-15
0,20267	-17
0,21333	-14
0,22400	-5
0,23467	-14
0,24533	-9
0,25600	-10
0,26667	-8
0,27733	-11
0,28800	-6
0,29867	-7
0,30933	-13
0,32000	-21
0,33067	-18
0,34133	-16
0,35200	-12
0,36267	-17
0,37333	-14
0,38400	-6
0,39467	-10
0,40533	-4
0,41600	-5
0,42667	-10
0,43733	-10
0,44800	-9
0,45867	-5
0,46933	-7
0,48000	-8
0,49067	-2
0,50133	-0
0,51200	-0
0,52267	5
0,53333	3
0,54400	1
0,55467	0
0,56533	-3
0,57600	-7
0,58667	-10
0,59733	-8
0,60800	-6
0,61867	-10
0,62933	-10
0,64000	-5
0,65067	-6
0,66133	-8
0,67200	-6
0,68267	-6
0,69333	-7
0,70400	-8
0,71467	-10
0,72533	-8
0,73600	-3
0,74667	-9
0,75733	-8
0,76800	-7
0,77867	0
0,78933	-6
0,80000	-6
0,81067	-14
0,82133	-8
0,83200	-5
0,84267	-12
0,85333	-9
0,86400	-11
0,87467	-13
0,88533	-9
0,89600	-13
0,90667	-10
0,91733	-10
0,92800	-8
0,93867	-11
0,94933	-11
0,96000	-9
0,97067	-10
0,98133	-14
0,99200	-12
1,00267	-14
1,01333	-22
1,02400	-18
1,03467	-17
1,04533	-15
1,05600	-17
1,06667	-24
1,07733	-20
1,08800	-8
1,09867	-9
1,10933	-22
1,12000	-25
1,13067	-15
1,14133	-16
1,15200	-5
1,16267	7
1,17333	14
1,18400	19
1,19467	16
1,20533	17
1,21600	9
1,22667	10
1,23733	14
1,24800	15
1,25867	20
1,26933	20
1,28000	27
1,29067	40
1,30133	52
1,31200	83
1,32267	138
1,33333	236
1,34400	349
1,35467	455
1,36533	523
1,37600	581
1,38667	662
1,39733	796
1,40800	1024
1,41867	1341
1,42933	1725
1,44000	2169
1,45067	2758
1,46133	3623
1,47200	4786
1,48267	6062
1,49333	7203
1,50400	8102
1,51467	8812
1,52533	9493
1,53600	10205
1,54667	10963
1,55733	11785
1,56800	13224
1,57867	18352
1,58933	35257
1,60000	73568
1,61067	135031
1,62133	209286
1,63200	279928
1,64267	333656
1,65333	364045
1,66400	372767
1,67467	364808
1,68533	344200
1,69600	314215
1,70667	277734
1,71733	238123
1,72800	197884
1,73867	159401
1,74933	124269
1,76000	94314
1,77067	70641
1,78133	53459
1,79200	42195
1,80267	36614
1,81333	37550
1,82400	45219
1,83467	56528
1,84533	66265
1,85600	70508
1,86667	68709
1,87733	62664
1,88800	54630
1,89867	46422
1,90933	39001
1,92000	32843
1,93067	27996
1,94133	24299
1,95200	21530
1,96267	19475
1,97333	17929
1,98400	16763
1,99467	15935
2,00533	15531
2,01600	15884
2,02667	17426
2,03733	20332
2,04800	24250
2,05867	28307
2,06933	31599
2,08000	33526
2,09067	34048
2,10133	33751
2,11200	33711
2,12267	35161
2,13333	38717
2,14400	43810
2,15467	48626
2,16533	51232
2,17600	50612
2,18667	46956
2,19733	41399
2,20800	35151
2,21867	29218
2,22933	24096
2,24000	19944
2,25067	16709
2,26133	14260
2,27200	12439
2,28267	11119
2,29333	10178
2,30400	9520
2,31467	9053
2,32533	8717
2,33600	8475
2,34667	8297
2,35733	8151
2,36800	8027
2,37867	7903
2,38933	7773
2,40000	7635
2,41067	7511
2,42133	7431
2,43200	7402
2,44267	7457
2,45333	7566
2,46400	7700
2,47467	7816
2,48533	7851
2,49600	7801
2,50667	7692
2,51733	7625
2,52800	7771
2,53867	8412
2,54933	10009
2,56000	13054
2,57067	17991
2,58133	24687
2,59200	32479
2,60267	40047
2,61333	46001
2,62400	49217
2,63467	49296
2,64533	46587
2,65600	41902
2,66667	36256
2,67733	30495
2,68800	25206
2,69867	20689
2,70933	16997
2,72000	14110
2,73067	11921
2,74133	10297
2,75200	9107
2,76267	8278
2,77333	7732
2,78400	7419
2,79467	7294
2,80533	7339
2,81600	7494
2,82667	7726
2,83733	8009
2,84800	8299
2,85867	8575
2,86933	8796
2,88000	8965
2,89067	9060
2,90133	9064
2,91200	8981
2,92267	8813
2,93333	8564
2,94400	8254
2,95467	7921
2,96533	7577
2,97600	7250
2,98667	6939
2,99733	6641
3,00800	6365
3,01867	6105
3,02933	5868
3,04000	5660
3,05067	5486
3,06133	5343
3,07200	5249
3,08267	5194
3,09333	5185
3,10400	5207
3,11467	5269
3,12533	5357
3,13600	5471
3,14667	5614
3,15733	5794
3,16800	5990
3,17867	6214
3,18933	6463
3,20000	6724
3,21067	7024
3,22133	7360
3,23200	7734
3,24267	8110
3,25333	8450
3,26400	8709
3,27467	8855
3,28533	8851
3,29600	8696
3,30667	8448
3,31733	8124
3,32800	7786
3,33867	7463
3,34933	7180
3,36000	6944
3,37067	6765
3,38133	6616
3,39200	6499
3,40267	6410
3,41333	6331
3,42400	6251
3,43467	6181
3,44533	6113
3,45600	6063
3,46667	6057
3,47733	6151
3,48800	6373
3,49867	6710
3,50933	7012
3,52000	7087
3,53067	6838
3,54133	6360
3,55200	5837
3,56267	5349
3,57333	4946
3,58400	4647
3,59467	4450
3,60533	4327
3,61600	4250
3,62667	4222
3,63733	4227
3,64800	4307
3,65867	4323
3,66933	4386
3,68000	4484
3,69067	4622
3,70133	4805
3,71200	5015
3,72267	5274
3,73333	5566
3,74400	5864
3,75467	6147
3,76533	6400
3,77600	6582
3,78667	6688
3,79733	6710
3,80800	6647
3,81867	6503
3,82933	6309
3,84000	6092
3,85067	5864
3,86133	5647
3,87200	5448
3,88267	5277
3,89333	5141
3,90400	5021
3,91467	4920
3,92533	4829
3,93600	4746
3,94667	4665
