[Header]
Application Name	LabSolutions
Version	5.73
Data File Name	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Output Date	27/02/2025
Output Time	03:54:27

[File Information]
Type	Data File
Generated	27/02/2025 03:03:59
Generated by	System Administrator
Modified	27/02/2025 03:54:26
Modified by	System Administrator

[Sample Information]
Operator Name	System Administrator
Acquired	27/02/2025 03:04:23
Sample Type	0:Unknown
Level	0
Sample Name	CHIMARRAO 2
Sample ID	CHIMARRAO 2
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
ISTD Amount17	1
ISTD Amount18	1
ISTD Amount19	1
ISTD Amount20	1
ISTD Amount21	1
ISTD Amount22	1
ISTD Amount23	1
ISTD Amount24	1
ISTD Amount25	1
ISTD Amount26	1
ISTD Amount27	1
ISTD Amount28	1
ISTD Amount29	1
ISTD Amount30	1
ISTD Amount31	1
ISTD Amount32	1
Sample Amount	1
Dilution Factor	1
Vial#	23
Injection Volume	10

[Original Files]
Data File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\CHIMARRAO 2.lcd
Method File	C:\Users\Public\MÉTODOS\MÉTODOS HPLC AUTOMÁTICO\RICARDO BORGES\RMBorges\sciffee\experimental 1 - pool.lcm
Batch File	C:\Users\Public\DADOS\Ricardo borges\RMBorges\26.02.25\BATCH_RM_MIX POOL_26.02.2025.lcb
Report Format File	C:\LabSolutions\System\Default.lsr

[File Description]


[Configuration]
Instrument Name	HPLC analítico (automático)
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	PDA
Detector Name	PDA
# of Channels	1

[Peak Table(PDA-Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
62	25,108	24,843	25,429	396321	18298	21,659	0,000	 V 			15,151	25470	5,889	0,000	0,841	1,019	0	0	0,000	0,000
63	25,608	25,429	25,653	108917	10092	10,793	0,000	 V 			15,473	4209	35,638	0,000	0,453	1,021	0	0	0,000	0,000
64	25,771	25,653	26,453	313261	13461	23,272	0,000	 V 			15,578	35804	4,189	0,000	0,153	1,007	0	0	0,000	0,000
65	26,559	26,453	26,667	46300	3698	12,520	0,000	 V 			16,085	621	241,573	0,000	0,328	1,033	0	0	0,000	0,000
66	27,007	26,667	27,307	176296	8216	21,458	0,000	 V 			16,373	54080	2,774	0,000	0,189	1,018	0	0	0,000	0,000
67	27,467	27,307	27,509	38197	3483	10,966	0,000	 V 			16,669	1454	103,178	0,000	0,275	1,018	0	0	0,000	0,000
68	27,602	27,509	27,861	59254	3630	16,325	0,000	 V 			16,756	4018	37,331	0,000	0,059	1,005	0	0	0,000	0,000
69	28,333	27,861	28,523	90786	3179	28,555	0,000	 V 			17,226	6341	23,657	0,000	0,461	1,028	0	0	0,000	0,000
70	28,678	28,523	29,227	73102	2617	27,934	0,000	 V 			17,448	11969	12,532	0,000	0,280	1,013	0	0	0,000	0,000
71	29,499	29,227	29,557	24362	2071	11,764	0,000	 V 			17,976	5624	26,673	0,000	0,626	1,030	0	0	0,000	0,000
72	29,622	29,557	29,792	20937	2088	10,027	0,000	 V 			18,055	7072	21,210	0,000	0,082	1,004	0	0	0,000	0,000
73	29,946	29,792	30,261	19052	1384	13,765	0,000	 V 			18,263	87380	1,717	0,000	0,357	1,012	0	0	0,000	0,000
74	30,700	30,475	30,891	9968	740	13,468	0,000	   			18,749	106797	1,405	0,000	1,932	1,027	0	0	0,000	0,000
75	30,987	30,891	31,093	2223	221	10,081	0,000	 V 			18,933	2726	55,035	0,000	0,209	1,010	0	0	0,000	0,000
76	31,207	31,093	31,392	3151	332	9,498	0,000	 V 			19,075	164663	0,911	0,000	0,164	1,007	0	0	0,000	0,000
77	33,981	32,789	34,037	209973	6230	33,704	0,000	   			20,859	7573	19,808	0,000	2,968	1,094	0	0	0,000	0,000
78	34,506	34,037	34,603	228934	9750	23,479	0,000	 V 			21,197	13578	11,047	0,000	0,382	1,016	0	0	0,000	0,000
79	35,066	34,603	35,413	1106302	119744	9,239	0,000	 V 			21,557	663477	0,226	0,000	0,825	1,017	0	0	0,000	0,000
80	35,486	35,413	35,552	145875	21690	6,726	0,000	 V 			21,827	204218	0,735	0,000	1,727	1,013	0	0	0,000	0,000
81	35,591	35,552	35,733	131938	15792	8,355	0,000	 V 			21,895	47562	3,154	0,000	0,217	1,003	0	0	0,000	0,000
82	35,848	35,733	35,979	142462	11317	12,588	0,000	 V 			22,060	42452	3,533	0,000	0,380	1,008	0	0	0,000	0,000
83	36,034	35,979	36,096	52998	7731	6,855	0,000	 V 			22,180	318	471,780	0,000	0,043	1,005	0	0	0,000	0,000
84	36,333	36,096	36,469	160735	8504	18,902	0,000	 V 			22,372	13370	11,219	0,000	0,064	1,009	0	0	0,000	0,000
85	36,782	36,469	36,939	118111	4250	27,791	0,000	 V 			22,661	16	9534,068	0,000	0,023	1,013	0	0	0,000	0,000
86	37,045	36,939	37,152	33390	3422	9,758	0,000	 V 			22,830	109563	1,369	0,000	0,014	1,007	0	0	0,000	0,000
87	37,230	37,152	37,376	11740	1395	8,416	0,000	 V 			22,949	20436	7,340	0,000	0,249	1,005	0	0	0,000	0,000
88	37,925	37,781	38,080	3197	502	6,375	0,000	   			23,396	637689	0,235	1,003	1,128	1,019	0	0	0,000	0,000
89	38,917	38,677	39,968	1011550	37002	27,337	0,000	   			24,035	357285	0,420	3,091	4,408	1,027	0	0	0,000	0,000

